X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezgene_id
ENST00000170630.6,38.67825146,-8.684018255,1.80890196,-4.800712504,1.58102E-06,0.000697594,3566
ENST00000230402.10,21.81045591,-7.857538299,2.059009359,-3.816174154,0.000135537,0.020895824,5528
ENST00000232744.13,21.10643424,-7.811022027,2.194551963,-3.559278686,0.000371875,0.04466455,80325
ENST00000241704.8,37.23379737,-8.628544168,1.92455503,-4.48339696,7.34641E-06,0.002257754,1314
ENST00000248104.11,51.05660146,-7.638431592,1.771015914,-4.31302256,1.61038E-05,0.004001417,64718
ENST00000258412.8,20.58332436,-7.773719198,2.106565708,-3.69023343,0.000224048,0.0306471,64114
ENST00000265260.8,73.22002143,-4.68185555,1.302799536,-3.593688378,0.00032603,0.041229867,57092
ENST00000278426.8,19.60167622,-7.703952758,2.140461351,-3.599201992,0.000319195,0.040839237,8501
ENST00000292199.6,43.99496748,-8.869254546,1.904285072,-4.657524588,3.20034E-06,0.001163464,79671
ENST00000309060.7,207.8343045,-3.430134054,0.71697344,-4.784185664,1.71682E-06,0.000726835,23051
ENST00000316924.9,84.62267726,-6.346558182,0.998424918,-6.3565703,2.06308E-10,6.5737E-07,64837
ENST00000318672.7,53.75281407,-3.521145708,0.898497185,-3.918927923,8.89437E-05,0.014872295,153129
ENST00000322610.12,29.96174947,-8.316020016,1.919725439,-4.331879885,1.47842E-05,0.003813468,25970
ENST00000340437.8,39.64994411,-8.720312246,1.826525857,-4.774261591,1.80368E-06,0.000745814,79869
ENST00000340729.9,46.66655312,-8.954784439,1.75411999,-5.105001077,3.30793E-07,0.000203664,81570
ENST00000340930.7,24.34721051,-8.016889182,2.051512019,-3.907795377,9.31421E-05,0.015382083,5747
ENST00000342922.8,50.69607754,-6.044916742,1.344458522,-4.496171984,6.91878E-06,0.00217877,8567
ENST00000348544.4,44.62817962,-5.81757925,1.380537287,-4.213996468,2.50891E-05,0.005676343,23339
ENST00000349655.8,152.6307657,-7.640934391,1.091249687,-7.002003744,2.52327E-12,2.27801E-08,9987
ENST00000355387.6,22.81230052,-7.922853149,2.066577835,-3.83380341,0.000126177,0.019583827,55182
ENST00000355954.7,19.12891478,-7.668386342,2.133337298,-3.594549418,0.000324953,0.041229867,79157
ENST00000357055.7,45.31653712,-8.912052273,2.28295525,-3.903734983,9.47195E-05,0.015595033,55676
ENST00000357231.8,55.92437037,-9.216625201,1.77546756,-5.191097494,2.09058E-07,0.000143345,23265
ENST00000357540.8,36.75307154,-8.610192352,1.835961113,-4.689746582,2.73544E-06,0.001036176,118813
ENST00000358835.7,577.9577499,-1.14754381,0.264347584,-4.341041417,1.41809E-05,0.003693033,5980
ENST00000359052.8,50.28472893,-5.567038951,1.29457624,-4.300278948,1.70583E-05,0.004181065,56916
ENST00000360521.7,24.04341427,-7.998333093,2.008933683,-3.981382342,6.85156E-05,0.012089104,5209
ENST00000360790.9,27.31036031,-8.182178149,1.949096744,-4.197933311,2.69362E-05,0.005964746,5932
ENST00000369604.6,22.86464006,-7.926491624,2.183520767,-3.63014254,0.000283265,0.037152264,10745
ENST00000371060.7,66.36266743,-9.462475065,1.715090383,-5.517187408,3.44468E-08,3.52059E-05,3953
ENST00000371357.5,22.64731752,-7.912006308,2.039177215,-3.87999937,0.000104457,0.016890186,774
ENST00000373671.7,28.20553475,-8.228505888,1.932165061,-4.258697175,2.05622E-05,0.004863809,3267
ENST00000373963.5,30.38615357,-8.335671115,1.916068307,-4.350403942,1.35887E-05,0.003590598,23549
ENST00000374394.7,22.17654718,-7.881099248,2.091875115,-3.767480761,0.000164903,0.024273041,55245
ENST00000375019.6,21.91513498,-7.865323772,2.220674217,-3.541862967,0.000397312,0.046990364,203286
ENST00000375477.5,28.98010133,-8.268335353,2.023834814,-4.085479355,4.39859E-05,0.008509389,55795
ENST00000375645.8,41.54696317,-8.787841456,1.833182639,-4.793762099,1.63682E-06,0.000715028,23250
ENST00000376279.7,26.41319477,-8.134406958,2.017080022,-4.032763633,5.51247E-05,0.010191112,5095
ENST00000377066.9,47.60212051,-8.984244827,1.852177643,-4.850638847,1.23064E-06,0.000600555,23670
ENST00000377227.8,273.352716,-2.452445059,0.530245752,-4.62511024,3.74399E-06,0.001316913,51720
ENST00000378455.8,48.08682854,-8.998343288,1.741373113,-5.167383842,2.37393E-07,0.000156376,54880
ENST00000380058.7,56.70860695,-9.235518206,1.9192359,-4.812080791,1.49367E-06,0.000674242,85865
ENST00000380058.7,56.70860695,-9.235518206,1.9192359,-4.812080791,1.49367E-06,0.000674242,101927446
ENST00000381486.7,35.6064404,-8.564622446,1.838619104,-4.658182017,3.19014E-06,0.001163464,9687
ENST00000383586.8,207.5129522,-1.665176173,0.46493051,-3.581559261,0.00034155,0.042316472,5514
ENST00000392142.9,30.52496681,-8.342337461,1.905955417,-4.376984574,1.20332E-05,0.003259085,4216
ENST00000392857.10,162.0339892,-5.702122506,0.683862154,-8.33811678,7.5483E-17,1.36292E-12,5000
ENST00000393881.7,26.13755939,-8.11884849,1.969192656,-4.122932545,3.74079E-05,0.007557599,28511
ENST00000395813.5,25.66878015,-8.09198863,2.042632188,-3.961549552,7.44649E-05,0.012886952,831
ENST00000397792.8,121.3276547,-4.974044604,1.205829163,-4.124999424,3.70736E-05,0.007549628,55591
ENST00000406644.7,48.17728443,-9.000571577,1.763103927,-5.104958046,3.30868E-07,0.000203664,7008
ENST00000406772.5,27.27821724,-8.180941998,2.01531651,-4.059383206,4.92025E-05,0.009417673,26088
ENST00000407859.7,25.8801294,-8.105183695,2.108714056,-3.843661815,0.000121212,0.018867277,8567
ENST00000409261.6,98.08035839,-3.791977069,0.702371924,-5.398816409,6.7082E-08,6.05616E-05,344148
ENST00000409849.5,42.9609798,-8.834948602,1.900819234,-4.647968856,3.3522E-06,0.001210545,55139
ENST00000412671.6,49.06250338,-9.027444828,1.742219292,-5.181577812,2.20017E-07,0.000148619,80017
ENST00000414043.7,26.10143413,-8.117527056,2.205848984,-3.680001267,0.000233233,0.031584385,23125
ENST00000419047.5,43.94291343,-8.868895657,1.91620017,-4.628376407,3.68544E-06,0.001304789,6909
ENST00000420949.6,207.5129522,-1.665176173,0.46493051,-3.581559261,0.00034155,0.042316472,5514
ENST00000421609.5,24.83390964,-8.044076726,2.178078381,-3.693198921,0.000221451,0.030368454,29956
ENST00000422263.2,26.22602419,-8.123112308,2.000950508,-4.059626799,4.91512E-05,0.009417673,771
ENST00000422674.6,22.31336932,-7.890388598,2.047633873,-3.853417694,0.00011648,0.018341604,203068
ENST00000423209.5,24.47180057,-8.022855969,2.247603204,-3.569516164,0.000357641,0.043773716,8503
ENST00000424446.6,207.5129522,-1.665176173,0.46493051,-3.581559261,0.00034155,0.042316472,5514
ENST00000424522.5,31.07424645,-8.368974993,1.989215429,-4.207173779,2.58584E-05,0.005812031,23354
ENST00000425063.5,34.51015769,-8.520167636,1.908397048,-4.464567603,8.02306E-06,0.002387875,79027
ENST00000426299.6,207.5129522,-1.665176173,0.46493051,-3.581559261,0.00034155,0.042316472,5514
ENST00000429597.6,207.5129522,-1.665176173,0.46493051,-3.581559261,0.00034155,0.042316472,5514
ENST00000429972.6,66.67934558,-8.024867689,1.638297474,-4.898297053,9.66708E-07,0.000489389,2317
ENST00000430799.7,95.76074436,-2.321942326,0.654471385,-3.547813365,0.000388443,0.046042014,8289
ENST00000434686.6,46.1775774,-8.93909284,1.994221642,-4.482497156,7.37746E-06,0.002257754,2782
ENST00000434819.2,131.6778973,-6.431500402,1.102610358,-5.832976586,5.44472E-09,8.6744E-06,2806
ENST00000435135.5,18.43086641,-7.614737593,2.155561942,-3.532599757,0.000411495,0.047977671,109
ENST00000435633.5,139.5997871,-2.24507393,0.53060915,-4.231125547,2.32525E-05,0.005452556,9045
ENST00000439160.6,59.98408836,-9.317578484,2.278005002,-4.090236184,4.30934E-05,0.008418326,6949
